gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
BCL2L11,10,-0.5522879621163805,0.2090297196934485,-0.9619862127155396,-0.1425897115172215,0.008238145916287494,0.3295593985478019,0.8382408308525173,down,2,8,0.8,0.109375,0.023261797573728708
REEP2,9,-0.5183885327981314,0.1962220553145369,-0.9029837612146236,-0.13379330438163906,0.008245543782121768,0.23288425624288023,0.7431515333173099,down,1,8,0.8888888888888888,0.0390625,0.02328005529172512
PCNT,10,-0.21951629871290676,0.08309435047097871,-0.38238122563602506,-0.05665137178978849,0.008247364159915336,5.9608609865491405e-06,0.0,down,2,8,0.8,0.109375,0.02328256346240762
CASC16,5,-0.8801930597663007,0.3332286687922845,-1.5333212505991782,-0.22706486893342304,0.008256208928082034,0.37882794538926534,0.6917639897998518,down,1,4,0.8,0.375,0.02330226587192603
DENND2D,10,0.5144693867142507,0.19477944494739752,0.13270167461735155,0.8962370988111499,0.008259050682319977,0.2733877115816768,0.7594955904398661,up,9,1,0.9,0.021484375,0.023305020342825635
FLT3LG,10,0.46111004025360425,0.17458486140627855,0.11892371189729828,0.8032963686099102,0.008261781800325005,0.20364988506945167,0.7442023442287784,up,8,2,0.8,0.109375,0.02330961853672463
CD68,10,0.6968755590744372,0.2638532161914387,0.1797232553392174,1.214027862809657,0.008262546420987815,0.5750178411561715,0.805678019704912,up,8,2,0.8,0.109375,0.02330961853672463
UBA7,10,0.4401932724664893,0.16668317407110056,0.11349425128713225,0.7668922936458464,0.00826865924959096,0.17681397248244782,0.6825714965442009,up,9,1,0.9,0.021484375,0.023322035246846697
IFT46,10,-0.43054615696766907,0.16303060014638035,-0.7500861332545745,-0.11100618068076357,0.008268814946612272,0.16503148886387004,0.6387553810447917,down,2,8,0.8,0.109375,0.023322035246846697
COL9A1,10,-0.47624626327071296,0.1803402163100644,-0.8297130872384392,-0.12277943930298674,0.008270535855487121,0.22144953058182928,0.746515630679712,down,2,8,0.8,0.109375,0.023324255611416093
TAF7,10,-0.4427367125781452,0.1676619954321274,-0.7713542236251149,-0.1141192015311755,0.008274706002582358,0.17857625373700248,0.63099914462003,down,2,8,0.8,0.109375,0.023330748380418723
C1QB,10,0.7153108649411032,0.2709779332929602,0.18419411568690114,1.2464276141953052,0.00829700366516643,0.6076318527527101,0.7986476930651786,up,8,2,0.8,0.109375,0.023388337684441728
SLC13A1,10,-0.7794412189495402,0.29529167197816397,-1.3582128960267417,-0.20066954187233887,0.00830127872660289,0.7543540015459835,0.8938816409182494,down,2,8,0.8,0.109375,0.02339774837744181
ADAM32,10,-0.49395366680037,0.1871550572194353,-0.8607775789504631,-0.12712975465027687,0.008308355004123476,0.24617939618647422,0.7539864676854926,down,1,9,0.9,0.021484375,0.023412410192668758
PDE4C,10,-0.6799523002483518,0.25763575476353856,-1.1849183795848874,-0.17498622091181626,0.00831019229434003,0.5483390229346188,0.8858633917562793,down,2,8,0.8,0.109375,0.023414946278469243
