library,term,gene,n_datasets_in_lead,n_datasets_tested,lead_frequency,gene_hedges_g,gene_q_value,gene_direction,gene_datasets
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,ANAPC1,1,3,0.3333333333333333,-0.24505491738446417,0.5024891107913311,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,UBE2E1,1,3,0.3333333333333333,-0.13206624441462494,0.7594832099508781,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,ANAPC15,1,3,0.3333333333333333,-0.215322401312599,0.7035514690325995,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,CDC23,1,3,0.3333333333333333,-0.3186003088445234,0.5262929993937134,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,MAD2L1,1,3,0.3333333333333333,-0.2256259303860321,0.630201690798171,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,ANAPC5,1,3,0.3333333333333333,-0.5696154156254886,0.6957180016797391,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,ANAPC2,1,3,0.3333333333333333,-0.1742862076272761,0.663463797865605,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,BUB3,1,3,0.3333333333333333,-0.19661051009001443,0.7720784721227665,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,UBA52,1,3,0.3333333333333333,0.4843264671794854,0.6657482273045163,up,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,UBE2S,1,3,0.3333333333333333,0.4452622730168053,0.6611425995145719,up,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,ANAPC10,1,3,0.3333333333333333,0.23201652061034234,0.5388410867903871,up,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,RPS27A,1,3,0.3333333333333333,0.3708756328689744,0.24641535184689525,up,3
Reactome_2022,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,PSMD11,3,3,1.0,-0.4410787936279881,0.08750343486866329,down,3
Reactome_2022,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,PSMD7,3,3,1.0,-0.38744256426706203,0.16577822042160253,down,3
Reactome_2022,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,NEK2,3,3,1.0,-0.4487839991844731,0.21050996187378124,down,3
Reactome_2022,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,BUB1B,2,3,0.6666666666666666,-0.517155681999961,0.029529147102922558,down,3
